# ran: examples/color_live.py
# NOTE: this is program OUTPUT; the source is in examples/color_live.py

# examples/color_live.py — stream BOTH colour sensors so surfaces can be compared live.
==========================================================================
COLOUR SENSORS -- LIVE. Hold each surface under sensor C and keep it still.
==========================================================================

  Surfaces that matter: floor | YELLOW note | BLUE tape | SILVER tape
  Watch the 'name' column and the r:g:b ratios, not the raw numbers.

   t(s)  P  color name      refl |   r    g    b    i | r%%   g%%   b%%
    8.3  D    -1 UNKNOWN      4 |   28   14   12   43 | 51.9 25.9 22.2
    8.5  C    -1 UNKNOWN      0 |    3    3    4    7 | 30.0 30.0 40.0
    8.5  D    -1 UNKNOWN      4 |   32   16   14   49 | 51.6 25.8 22.6
    8.8  C    -1 UNKNOWN      0 |    4    4    4    8 | 33.3 33.3 33.3
    8.8  D    -1 UNKNOWN      4 |   31   14   12   48 | 54.4 24.6 21.1
    9.0  C    -1 UNKNOWN      1 |    7    4    4   11 | 46.7 26.7 26.7
    9.0  D    -1 UNKNOWN      4 |   29   13   12   43 | 53.7 24.1 22.2
    9.3  C    -1 UNKNOWN      1 |    9    5    4   14 | 50.0 27.8 22.2
    9.3  D    -1 UNKNOWN      3 |   25   12   10   38 | 53.2 25.5 21.3
    9.5  C    -1 UNKNOWN      1 |    8    5    6   14 | 42.1 26.3 31.6
    9.5  D    -1 UNKNOWN      3 |   24   12   10   37 | 52.2 26.1 21.7
    9.8  C    -1 UNKNOWN      1 |    9    7    6   16 | 40.9 31.8 27.3
    9.8  D    -1 UNKNOWN      3 |   23   12   10   35 | 51.1 26.7 22.2
   10.0  C    -1 UNKNOWN      1 |    7    4    6   11 | 41.2 23.5 35.3
   10.0  D    -1 UNKNOWN      3 |   21    9    9   32 | 53.8 23.1 23.1
   10.3  C    -1 UNKNOWN      0 |    4    3    4    8 | 36.4 27.3 36.4
   10.3  D    -1 UNKNOWN      3 |   21    9    9   32 | 53.8 23.1 23.1
   10.5  C    -1 UNKNOWN      0 |    5    4    4    9 | 38.5 30.8 30.8
   10.5  D    -1 UNKNOWN      2 |   16    8    7   25 | 51.6 25.8 22.6
   10.8  C    -1 UNKNOWN      0 |    3    2    2    5 | 42.9 28.6 28.6
   10.8  D    -1 UNKNOWN      4 |   33   16   16   51 | 50.8 24.6 24.6
   11.0  C    -1 UNKNOWN      0 |    6    4    4    9 | 42.9 28.6 28.6
   11.0  D    -1 UNKNOWN      7 |   49   24   21   74 | 52.1 25.5 22.3
   11.3  C    -1 UNKNOWN      1 |    9    5    4   15 | 50.0 27.8 22.2
   11.3  D    -1 UNKNOWN      8 |   60   29   26   91 | 52.2 25.2 22.6
   11.5  C    -1 UNKNOWN      1 |    8    5    4   15 | 47.1 29.4 23.5
   11.5  D    -1 UNKNOWN     11 |   75   37   32  115 | 52.1 25.7 22.2
   11.8  C    -1 UNKNOWN      1 |    9    5    6   15 | 45.0 25.0 30.0
   11.8  D    -1 UNKNOWN      6 |   46   22   19   70 | 52.9 25.3 21.8
   12.0  C    -1 UNKNOWN      1 |    8    6    6   14 | 40.0 30.0 30.0
   12.0  D    -1 UNKNOWN      5 |   36   18   16   55 | 51.4 25.7 22.9
   12.3  C    -1 UNKNOWN      0 |    5    4    4   10 | 38.5 30.8 30.8
   12.3  D    -1 UNKNOWN      7 |   51   25   22   78 | 52.0 25.5 22.4
   12.6  C    -1 UNKNOWN      0 |    5    4    4   10 | 38.5 30.8 30.8
