# ran: examples/color_live.py
# NOTE: this is program OUTPUT; the source is in examples/color_live.py

# examples/color_live.py — stream BOTH colour sensors so surfaces can be compared live.
==========================================================================
COLOUR SENSORS -- LIVE. Hold each surface under sensor C and keep it still.
==========================================================================

  Surfaces that matter: floor | YELLOW note | BLUE tape | SILVER tape
  Watch the 'name' column and the r:g:b ratios, not the raw numbers.

   t(s)  P  color name      refl |   r    g    b    i | r%%   g%%   b%%
   34.4  D    -1 UNKNOWN      0 |    2    2    3    5 | 28.6 28.6 42.9
   34.6  C     9 RED         99 |  937  343  434 1023 | 54.7 20.0 25.3
   34.6  D    -1 UNKNOWN      1 |    8    3    4   11 | 53.3 20.0 26.7
   34.9  C     9 RED         99 |  946  321  417 1023 | 56.2 19.1 24.8
   34.9  D    -1 UNKNOWN      1 |    8    5    4   13 | 47.1 29.4 23.5
   35.1  C     9 RED         99 |  918  353  442 1022 | 53.6 20.6 25.8
   35.1  D    -1 UNKNOWN      0 |    4    2    3    8 | 44.4 22.2 33.3
   35.4  C    -1 UNKNOWN      1 |   12    6    8   19 | 46.2 23.1 30.8
   35.4  D    -1 UNKNOWN      1 |   10    5    5   14 | 50.0 25.0 25.0
   35.6  C    -1 UNKNOWN      1 |    8    5    8   15 | 38.1 23.8 38.1
   35.6  D    -1 UNKNOWN      0 |    3    2    3    5 | 37.5 25.0 37.5
   35.9  C    -1 UNKNOWN      0 |    3    2    2    6 | 42.9 28.6 28.6
   35.9  D    -1 UNKNOWN      1 |    9    5    5   15 | 47.4 26.3 26.3
   36.1  C    -1 UNKNOWN      0 |    4    3    2    8 | 44.4 33.3 22.2
   36.1  D     9 RED          7 |   62   13   21   78 | 64.6 13.5 21.9
   36.4  C    -1 UNKNOWN      1 |   13    8    8   20 | 44.8 27.6 27.6
   36.4  D     9 RED         57 |  462  114  166  590 | 62.3 15.4 22.4
   36.6  C    -1 UNKNOWN      1 |   11    5    6   18 | 50.0 22.7 27.3
   36.6  D     9 RED         65 |  523  133  192  674 | 61.7 15.7 22.6
   36.9  C    -1 UNKNOWN      1 |   10    5    6   17 | 47.6 23.8 28.6
   36.9  D     9 RED         68 |  485  175  227  698 | 54.7 19.7 25.6
   37.1  C    -1 UNKNOWN      1 |    7    4    4   12 | 46.7 26.7 26.7
   37.1  D     9 RED         47 |  308  129  159  486 | 51.7 21.6 26.7
   37.4  C    -1 UNKNOWN      0 |    3    3    2    7 | 37.5 37.5 25.0
   37.4  D     9 RED         52 |  356  138  174  538 | 53.3 20.7 26.0
   37.7  C    -1 UNKNOWN      0 |    4    3    2    7 | 44.4 33.3 22.2
   37.7  D     9 RED         92 |  630  247  311  943 | 53.0 20.8 26.2
   37.9  C    -1 UNKNOWN      0 |    3    3    2    7 | 37.5 37.5 25.0
   37.9  D     9 RED         61 |  445  151  200  626 | 55.9 19.0 25.1
   38.2  C    -1 UNKNOWN      1 |    6    3    4   11 | 46.2 23.1 30.8
   38.2  D     9 RED         68 |  491  172  224  700 | 55.4 19.4 25.3
   38.4  C    -1 UNKNOWN      2 |   16   10   10   29 | 44.4 27.8 27.8
   38.4  D    -1 UNKNOWN      1 |   10    5    5   15 | 50.0 25.0 25.0
   38.7  C    -1 UNKNOWN      2 |   14    7   10   22 | 45.2 22.6 32.3
   38.7  D    -1 UNKNOWN      1 |   10    4    4   15 | 55.6 22.2 22.2
   38.9  C    -1 UNKNOWN      1 |   11    6    8   17 | 44.0 24.0 32.0
   38.9  D    -1 UNKNOWN      1 |   11    5    5   18 | 52.4 23.8 23.8
   39.2  C    -1 UNKNOWN      1 |    6    4    4   11 | 42.9 28.6 28.6
   39.2  D    -1 UNKNOWN      1 |   12    5    5   18 | 54.5 22.7 22.7
   39.4  C    -1 UNKNOWN      0 |    3    1    2    6 | 50.0 16.7 33.3
   39.4  D    -1 UNKNOWN      1 |   12    6    5   18 | 52.2 26.1 21.7
   39.7  C    -1 UNKNOWN      0 |    3    3    2    7 | 37.5 37.5 25.0
   39.7  D    -1 UNKNOWN      1 |   13    6    5   19 | 54.2 25.0 20.8
   39.9  C    -1 UNKNOWN      0 |    5    3    2    8 | 50.0 30.0 20.0
   39.9  D    -1 UNKNOWN      1 |   10    4    5   15 | 52.6 21.1 26.3
   40.2  C    -1 UNKNOWN      1 |    8    5    6   14 | 42.1 26.3 31.6
   40.2  D    -1 UNKNOWN      1 |    7    4    4   11 | 46.7 26.7 26.7
   40.4  C    -1 UNKNOWN      1 |   10    4    6   16 | 50.0 20.0 30.0
   40.4  D    -1 UNKNOWN      0 |    4    3    4    6 | 36.4 27.3 36.4
   40.7  C    -1 UNKNOWN      1 |    9    4    6   15 | 47.4 21.1 31.6
   40.7  D    -1 UNKNOWN      0 |    4    1    2    6 | 57.1 14.3 28.6
   40.9  C    -1 UNKNOWN      1 |    8    6    6   15 | 40.0 30.0 30.0
   40.9  D    -1 UNKNOWN      0 |    3    2    2    6 | 42.9 28.6 28.6
   41.2  C    -1 UNKNOWN      1 |    5    5    4   12 | 35.7 35.7 28.6
   41.2  D    -1 UNKNOWN      0 |    6    3    4    8 | 46.2 23.1 30.8
   41.4  C    -1 UNKNOWN      0 |    3    4    4    6 | 27.3 36.4 36.4
   41.4  D     6 GREEN       11 |   52   64   41  115 | 33.1 40.8 26.1
   41.7  C    -1 UNKNOWN      0 |    1    3    2    3 | 16.7 50.0 33.3
   41.7  D    -1 UNKNOWN     99 |  463  546  397 1015 | 32.9 38.8 28.2
   41.9  C    -1 UNKNOWN      0 |    2    1    2    4 | 40.0 20.0 40.0
   41.9  D    10 WHITE       90 |  404  439  374  928 | 33.2 36.1 30.7
   42.2  C    -1 UNKNOWN      1 |    7    6    4   13 | 41.2 35.3 23.5
   42.2  D    10 WHITE       99 |  455  526  413 1018 | 32.6 37.7 29.6
   42.4  C    -1 UNKNOWN      1 |    7    6    4   14 | 41.2 35.3 23.5
   42.4  D    -1 UNKNOWN     72 |  324  373  279  741 | 33.2 38.2 28.6
   42.7  C    -1 UNKNOWN      1 |    7    6    4   12 | 41.2 35.3 23.5
   42.7  D    -1 UNKNOWN     99 |  552  639  450 1017 | 33.6 38.9 27.4
   42.9  C    -1 UNKNOWN      0 |    5    4    2    9 | 45.5 36.4 18.2
   42.9  D     6 GREEN       99 |  527  645  421 1016 | 33.1 40.5 26.4
   43.2  C    -1 UNKNOWN      0 |    2    4    2    5 | 25.0 50.0 25.0
   43.2  D    -1 UNKNOWN     99 |  872 1023  720 1022 | 33.3 39.1 27.5
   43.4  C    -1 UNKNOWN      0 |    2    3    2    4 | 28.6 42.9 28.6
   43.4  D     6 GREEN       13 |   62   77   47  141 | 33.3 41.4 25.3
   43.7  C    -1 UNKNOWN      0 |    3    1    4    6 | 37.5 12.5 50.0
   43.7  D     6 GREEN       13 |   60   76   44  137 | 33.3 42.2 24.4
   43.9  C    -1 UNKNOWN      1 |    7    8    6   13 | 33.3 38.1 28.6
   43.9  D     6 GREEN       40 |  186  231  154  412 | 32.6 40.5 27.0
   44.2  C    -1 UNKNOWN      1 |    7    4    4   12 | 46.7 26.7 26.7
   44.2  D     0 BLACK       22 |  100  113   86  235 | 33.4 37.8 28.8
   44.4  C    -1 UNKNOWN      1 |    9    5    6   14 | 45.0 25.0 30.0
   44.4  D    -1 UNKNOWN      1 |    9    4    4   14 | 52.9 23.5 23.5
   44.7  C    -1 UNKNOWN      0 |    6    4    4   10 | 42.9 28.6 28.6
   44.7  D    -1 UNKNOWN      0 |    5    2    2    8 | 55.6 22.2 22.2
   44.9  C     6 GREEN        9 |   41   46   30   98 | 35.0 39.3 25.6
   44.9  D    -1 UNKNOWN      1 |    8    4    4   12 | 50.0 25.0 25.0
   45.2  C    10 WHITE       30 |  139  154  122  313 | 33.5 37.1 29.4
   45.2  D    -1 UNKNOWN      0 |    4    2    2    8 | 50.0 25.0 25.0
   45.4  C    -1 UNKNOWN     33 |  154  174  129  345 | 33.7 38.1 28.2
   45.4  D    -1 UNKNOWN      0 |    4    3    2    5 | 44.4 33.3 22.2
   45.7  C     6 GREEN       97 |  456  533  360  995 | 33.8 39.5 26.7
   45.7  D    -1 UNKNOWN      0 |    2    1    2    3 | 40.0 20.0 40.0
   45.9  C     6 GREEN       99 |  690  803  548 1019 | 33.8 39.3 26.8
   45.9  D    -1 UNKNOWN      0 |    2    1    0    2 | 66.7 33.3  0.0
   46.2  C     6 GREEN       99 |  848  988  678 1021 | 33.7 39.3 27.0
   46.2  D    -1 UNKNOWN      0 |    3    1    2    5 | 50.0 16.7 33.3
   46.4  C    10 WHITE       99 | 1023 1023  890 1022 | 34.8 34.8 30.3
   46.4  D    -1 UNKNOWN      0 |    4    3    4    6 | 36.4 27.3 36.4
   46.7  C    10 WHITE       99 | 1023 1023  907 1021 | 34.6 34.6 30.7
   46.7  D    -1 UNKNOWN      0 |    5    3    4    8 | 41.7 25.0 33.3
   46.9  C    10 WHITE       99 | 1023 1023  905 1021 | 34.7 34.7 30.7
   46.9  D    -1 UNKNOWN      0 |    7    4    4   10 | 46.7 26.7 26.7
   47.2  C    10 WHITE       99 | 1023 1023  924 1021 | 34.4 34.4 31.1
   47.2  D    -1 UNKNOWN      1 |    8    4    4   13 | 50.0 25.0 25.0
   47.4  C     6 GREEN       72 |  328  373  255  740 | 34.3 39.0 26.7
   47.4  D    -1 UNKNOWN      1 |    7    4    4   12 | 46.7 26.7 26.7
   47.7  C    -1 UNKNOWN      1 |    9    6    6   14 | 42.9 28.6 28.6
   47.7  D    -1 UNKNOWN      1 |   12    6    5   18 | 52.2 26.1 21.7
   47.9  C    -1 UNKNOWN      1 |   10    6    6   18 | 45.5 27.3 27.3
   47.9  D    -1 UNKNOWN      0 |    7    4    4   10 | 46.7 26.7 26.7
   48.2  C    -1 UNKNOWN      1 |   10    7    8   19 | 40.0 28.0 32.0
   48.2  D    -1 UNKNOWN      1 |    8    4    3   13 | 53.3 26.7 20.0
   48.4  C    -1 UNKNOWN      0 |    5    2    4    9 | 45.5 18.2 36.4
   48.4  D    -1 UNKNOWN      0 |    2    2    0    2 | 50.0 50.0  0.0
   48.7  C    -1 UNKNOWN      0 |    1    1    2    2 | 25.0 25.0 50.0
   48.7  D    -1 UNKNOWN      0 |    1    1    1    2 | 33.3 33.3 33.3
   48.9  C    -1 UNKNOWN      0 |    3    1    2    5 | 50.0 16.7 33.3
   48.9  D    -1 UNKNOWN      0 |    6    3    2    9 | 54.5 27.3 18.2
   49.2  C    -1 UNKNOWN      0 |    0    1    0    1 |  0.0 100.0  0.0
   49.2  D    -1 UNKNOWN      1 |    8    5    5   14 | 44.4 27.8 27.8
   49.4  C    -1 UNKNOWN      0 |    2    1    2    5 | 40.0 20.0 40.0
   49.4  D    -1 UNKNOWN      2 |   14    8    7   23 | 48.3 27.6 24.1
   49.7  C    -1 UNKNOWN      1 |    6    6    6   12 | 33.3 33.3 33.3
   49.7  D    -1 UNKNOWN      3 |   26   12   12   39 | 52.0 24.0 24.0
   50.0  C    -1 UNKNOWN      1 |    7    4    4   12 | 46.7 26.7 26.7
   50.0  D    -1 UNKNOWN      1 |   10    5    6   17 | 47.6 23.8 28.6
   50.2  C    -1 UNKNOWN      1 |    8    6    6   16 | 40.0 30.0 30.0
   50.2  D    -1 UNKNOWN      3 |   25   12   10   36 | 53.2 25.5 21.3
   50.5  C    -1 UNKNOWN      1 |    7    5    4   12 | 43.8 31.3 25.0
   50.5  D    -1 UNKNOWN      3 |   21   10    9   33 | 52.5 25.0 22.5
   50.7  C    -1 UNKNOWN      0 |    3    3    2    7 | 37.5 37.5 25.0
   50.7  D    -1 UNKNOWN      3 |   25   12   12   38 | 51.0 24.5 24.5
   51.0  C    -1 UNKNOWN      0 |    3    4    2    8 | 33.3 44.4 22.2
   51.0  D    -1 UNKNOWN      3 |   24   12   10   37 | 52.2 26.1 21.7
   51.2  C    -1 UNKNOWN      0 |    3    3    4    7 | 30.0 30.0 40.0
   51.2  D    -1 UNKNOWN      3 |   24   11   10   35 | 53.3 24.4 22.2
   51.5  C    -1 UNKNOWN      1 |    7    5    4   13 | 43.8 31.3 25.0
   51.5  D    -1 UNKNOWN      2 |   20   11    8   30 | 51.3 28.2 20.5
   51.7  C    -1 UNKNOWN      1 |   10    8    8   19 | 38.5 30.8 30.8
   51.7  D    -1 UNKNOWN      2 |   20    9    7   29 | 55.6 25.0 19.4
   52.0  C    -1 UNKNOWN      1 |    9    6    6   19 | 42.9 28.6 28.6
   52.0  D    -1 UNKNOWN      3 |   20   11   10   32 | 48.8 26.8 24.4
   52.2  C    -1 UNKNOWN      1 |   10    8    6   20 | 41.7 33.3 25.0
   52.2  D    -1 UNKNOWN      3 |   21    9    9   32 | 53.8 23.1 23.1
   52.5  C    -1 UNKNOWN      1 |    7    5    6   14 | 38.9 27.8 33.3
   52.5  D    -1 UNKNOWN      3 |   22   11   10   34 | 51.2 25.6 23.3
   52.7  C    -1 UNKNOWN      0 |    4    4    4    9 | 33.3 33.3 33.3
   52.7  D    -1 UNKNOWN      3 |   23   12   10   36 | 51.1 26.7 22.2
   53.0  C    -1 UNKNOWN      0 |    4    4    4   10 | 33.3 33.3 33.3
   53.0  D    -1 UNKNOWN      3 |   23   12   10   35 | 51.1 26.7 22.2
   53.2  C    -1 UNKNOWN      1 |    5    5    6   11 | 31.3 31.3 37.5
   53.2  D    -1 UNKNOWN      3 |   22   11   10   33 | 51.2 25.6 23.3
   53.5  C    -1 UNKNOWN      0 |    5    4    6   10 | 33.3 26.7 40.0
   53.5  D    -1 UNKNOWN      2 |   20    9    9   30 | 52.6 23.7 23.7
   53.7  C    -1 UNKNOWN      1 |    9    6    6   17 | 42.9 28.6 28.6
   53.7  D    -1 UNKNOWN      2 |   18    9    7   27 | 52.9 26.5 20.6
   54.0  C    -1 UNKNOWN      2 |   11   10   10   21 | 35.5 32.3 32.3
   54.0  D    -1 UNKNOWN      2 |   18    9    7   25 | 52.9 26.5 20.6
   54.2  C    -1 UNKNOWN      1 |    9    8    8   20 | 36.0 32.0 32.0
   54.2  D    -1 UNKNOWN      3 |   21   11    8   32 | 52.5 27.5 20.0
   54.5  C    -1 UNKNOWN      1 |    6    7    4   14 | 35.3 41.2 23.5
   54.5  D    -1 UNKNOWN      3 |   27   13   12   40 | 51.9 25.0 23.1
   54.7  C    -1 UNKNOWN      1 |    7    7    8   16 | 31.8 31.8 36.4
   54.7  D    -1 UNKNOWN      5 |   35   16   16   53 | 52.2 23.9 23.9
   55.0  C    -1 UNKNOWN      0 |    4    5    4    9 | 30.8 38.5 30.8
   55.0  D    -1 UNKNOWN      4 |   31   15   14   47 | 51.7 25.0 23.3
   55.2  C    -1 UNKNOWN      1 |    6    6    6   15 | 33.3 33.3 33.3
   55.2  D    -1 UNKNOWN      5 |   38   18   16   58 | 52.8 25.0 22.2
Traceback (most recent call last):
  File "<stdin>", line 90, in <module>
KeyboardInterrupt: 
>>> 
