# surface survey -- labelled colour-sensor captures
# SV,label,port,t_ms,color_code,color_name,reflection,r,g,b,i
# --- YELLOW_NOTE  10:04:40  (5 s) ---
SV,YELLOW_NOTE,D,4348,0,BLACK,20,85,94,100,210
SV,YELLOW_NOTE,C,4449,0,BLACK,32,142,146,148,330
SV,YELLOW_NOTE,D,4449,0,BLACK,20,86,95,102,213
SV,YELLOW_NOTE,C,4550,0,BLACK,32,143,146,148,332
SV,YELLOW_NOTE,D,4550,0,BLACK,20,87,97,104,215
SV,YELLOW_NOTE,C,4651,0,BLACK,32,142,146,148,330
SV,YELLOW_NOTE,D,4651,0,BLACK,20,86,95,102,212
SV,YELLOW_NOTE,C,4752,0,BLACK,32,141,146,148,330
SV,YELLOW_NOTE,D,4752,0,BLACK,20,85,95,102,210
SV,YELLOW_NOTE,C,4853,0,BLACK,32,143,146,148,332
SV,YELLOW_NOTE,D,4853,0,BLACK,20,86,97,104,214
SV,YELLOW_NOTE,C,4954,0,BLACK,32,143,148,148,332
SV,YELLOW_NOTE,D,4954,0,BLACK,20,86,97,102,214
# --- YELLOW_NOTE  10:05:28  (15 s) ---
SV,YELLOW_NOTE,C,0,0,BLACK,31,132,144,148,319
SV,YELLOW_NOTE,D,0,0,BLACK,21,87,101,109,220
SV,YELLOW_NOTE,C,102,0,BLACK,32,137,148,151,328
SV,YELLOW_NOTE,D,102,0,BLACK,21,86,99,107,218
SV,YELLOW_NOTE,C,203,0,BLACK,31,136,146,149,325
SV,YELLOW_NOTE,D,203,0,BLACK,21,86,99,109,217
SV,YELLOW_NOTE,C,304,0,BLACK,31,136,146,149,327
SV,YELLOW_NOTE,D,304,0,BLACK,21,88,101,109,220
SV,YELLOW_NOTE,C,405,0,BLACK,32,141,150,153,336
SV,YELLOW_NOTE,D,405,0,BLACK,21,89,102,111,225
SV,YELLOW_NOTE,C,506,0,BLACK,33,141,150,153,338
SV,YELLOW_NOTE,D,506,0,BLACK,21,89,102,109,224
SV,YELLOW_NOTE,C,607,0,BLACK,31,136,146,149,326
SV,YELLOW_NOTE,D,607,0,BLACK,21,88,101,109,220
SV,YELLOW_NOTE,C,708,10,WHITE,33,144,152,155,341
SV,YELLOW_NOTE,D,708,0,BLACK,22,90,102,111,226
SV,YELLOW_NOTE,C,809,0,BLACK,33,144,152,153,342
SV,YELLOW_NOTE,D,809,0,BLACK,21,88,101,109,222
SV,YELLOW_NOTE,C,910,0,BLACK,32,141,150,153,335
SV,YELLOW_NOTE,D,910,0,BLACK,21,87,101,109,220
SV,YELLOW_NOTE,C,1011,10,WHITE,37,164,170,170,382
SV,YELLOW_NOTE,D,1011,0,BLACK,22,90,105,112,227
SV,YELLOW_NOTE,C,1112,10,WHITE,34,152,158,159,355
SV,YELLOW_NOTE,D,1112,0,BLACK,22,93,107,116,235
SV,YELLOW_NOTE,C,1214,10,WHITE,33,147,154,155,348
SV,YELLOW_NOTE,D,1214,0,BLACK,22,92,106,114,232
SV,YELLOW_NOTE,C,1315,0,BLACK,33,144,150,151,339
SV,YELLOW_NOTE,D,1315,0,BLACK,22,90,105,112,227
SV,YELLOW_NOTE,C,1416,0,BLACK,33,145,152,153,340
SV,YELLOW_NOTE,D,1416,0,BLACK,22,90,105,112,229
SV,YELLOW_NOTE,C,1517,10,WHITE,33,146,153,155,345
SV,YELLOW_NOTE,D,1517,0,BLACK,21,88,102,111,223
SV,YELLOW_NOTE,C,1618,10,WHITE,35,156,162,163,364
SV,YELLOW_NOTE,D,1618,0,BLACK,22,92,107,114,233
SV,YELLOW_NOTE,C,1719,10,WHITE,35,155,161,161,362
SV,YELLOW_NOTE,D,1719,0,BLACK,22,93,107,116,234
SV,YELLOW_NOTE,C,1820,10,WHITE,35,154,160,161,361
SV,YELLOW_NOTE,D,1820,0,BLACK,22,92,106,114,234
SV,YELLOW_NOTE,C,1921,0,BLACK,32,139,148,151,333
SV,YELLOW_NOTE,D,1921,0,BLACK,21,86,99,109,218
SV,YELLOW_NOTE,C,2022,10,WHITE,34,150,156,157,351
SV,YELLOW_NOTE,D,2022,0,BLACK,22,92,106,114,231
SV,YELLOW_NOTE,C,2123,0,BLACK,33,143,150,151,338
SV,YELLOW_NOTE,D,2123,0,BLACK,21,89,103,111,225
SV,YELLOW_NOTE,C,2224,0,BLACK,32,141,146,148,332
SV,YELLOW_NOTE,D,2224,0,BLACK,19,80,93,99,202
SV,YELLOW_NOTE,C,2325,10,WHITE,35,157,162,163,366
SV,YELLOW_NOTE,D,2325,0,BLACK,21,88,101,109,220
SV,YELLOW_NOTE,C,2426,10,WHITE,35,154,160,159,359
