# ran: examples/color_live.py
# NOTE: this is program OUTPUT; the source is in examples/color_live.py

# examples/color_live.py — stream BOTH colour sensors so surfaces can be compared live.
==========================================================================
COLOUR SENSORS -- LIVE. Hold each surface under sensor C and keep it still.
==========================================================================

  Surfaces that matter: floor | YELLOW note | BLUE tape | SILVER tape
  Watch the 'name' column and the r:g:b ratios, not the raw numbers.

   t(s)  P  color name      refl |   r    g    b    i | r%%   g%%   b%%
   39.2  C    -1 UNKNOWN      1 |    7    8    9   19 | 29.2 33.3 37.5
   39.2  D     9 RED        100 |  903  327  420 1024 | 54.7 19.8 25.5
   39.4  C    -1 UNKNOWN      1 |    7    8    9   19 | 29.2 33.3 37.5
   39.4  D     9 RED         92 |  648  268  326  950 | 52.2 21.6 26.2
   39.7  C    -1 UNKNOWN      1 |    7    9   11   19 | 25.9 33.3 40.7
   39.7  D    -1 UNKNOWN      1 |    8    9   10   20 | 29.6 33.3 37.0
   39.9  C    -1 UNKNOWN      1 |    6    8    9   17 | 26.1 34.8 39.1
   39.9  D    -1 UNKNOWN      1 |    7    8   10   19 | 28.0 32.0 40.0
   40.2  C    -1 UNKNOWN      1 |    6    8    9   17 | 26.1 34.8 39.1
   40.2  D    -1 UNKNOWN      1 |    8    9   10   20 | 29.6 33.3 37.0
   40.4  C    -1 UNKNOWN      1 |    7    8    9   18 | 29.2 33.3 37.5
   40.4  D    -1 UNKNOWN      2 |    9   10   11   22 | 30.0 33.3 36.7
   40.7  C    -1 UNKNOWN      1 |    7    9   11   20 | 25.9 33.3 40.7
   40.7  D    -1 UNKNOWN      2 |    8   10   11   21 | 27.6 34.5 37.9
   40.9  C    -1 UNKNOWN      1 |    7    9   11   19 | 25.9 33.3 40.7
   40.9  D    -1 UNKNOWN      1 |    7    8    9   19 | 29.2 33.3 37.5
   41.2  C    -1 UNKNOWN      1 |    7    8    9   18 | 29.2 33.3 37.5
   41.2  D    -1 UNKNOWN      1 |    7    8   10   18 | 28.0 32.0 40.0
   41.4  C    -1 UNKNOWN      1 |    6    8    9   18 | 26.1 34.8 39.1
   41.4  D    -1 UNKNOWN      2 |    8    9   10   21 | 29.6 33.3 37.0
   41.7  C    -1 UNKNOWN      1 |    7    9   11   19 | 25.9 33.3 40.7
   41.7  D    -1 UNKNOWN      2 |    8   10   11   21 | 27.6 34.5 37.9
   41.9  C    -1 UNKNOWN      1 |    7    9   11   19 | 25.9 33.3 40.7
   41.9  D    -1 UNKNOWN      1 |    7    9   10   20 | 26.9 34.6 38.5
   42.2  C    -1 UNKNOWN      1 |    7    8    9   18 | 29.2 33.3 37.5
   42.2  D    -1 UNKNOWN      1 |    7    9   10   20 | 26.9 34.6 38.5
   42.4  C    -1 UNKNOWN      4 |   17   22   24   50 | 27.0 34.9 38.1
   42.4  D    10 WHITE       35 |  146  149  166  367 | 31.7 32.3 36.0
   42.7  C     0 BLACK       32 |  133  136  146  330 | 32.0 32.8 35.2
   42.7  D    10 WHITE       59 |  250  259  288  609 | 31.4 32.5 36.1
   42.9  C    10 WHITE       64 |  273  276  294  659 | 32.4 32.7 34.9
   42.9  D    10 WHITE       95 |  409  431  474  979 | 31.1 32.8 36.1
   43.2  C    10 WHITE       69 |  291  292  309  712 | 32.6 32.7 34.6
   43.2  D    10 WHITE       99 |  652  696  769 1021 | 30.8 32.9 36.3
   43.4  C    10 WHITE       36 |  147  146  157  373 | 32.7 32.4 34.9
   43.4  D    10 WHITE       99 |  609  656  724 1020 | 30.6 33.0 36.4
   43.7  C    10 WHITE       56 |  234  237  249  578 | 32.5 32.9 34.6
   43.7  D    10 WHITE       99 |  664  714  782 1021 | 30.7 33.1 36.2
   43.9  C    10 WHITE       99 |  470  478  502 1021 | 32.4 33.0 34.6
   43.9  D    10 WHITE       99 | 1022 1023 1024 1022 | 33.3 33.3 33.4
   44.2  C    10 WHITE       99 |  680  699  742 1023 | 32.1 33.0 35.0
   44.2  D    10 WHITE       99 | 1023 1024 1024 1022 | 33.3 33.3 33.3
   44.4  C    10 WHITE       99 | 1021 1024 1024 1022 | 33.3 33.4 33.4
   44.4  D    10 WHITE       99 | 1023 1023 1024 1022 | 33.3 33.3 33.4
   44.7  C    10 WHITE       99 | 1000 1024 1024 1023 | 32.8 33.6 33.6
   44.7  D    -1 UNKNOWN      1 |    8    9   10   19 | 29.6 33.3 37.0
   44.9  C    10 WHITE       99 |  966 1020 1024 1022 | 32.1 33.9 34.0
   44.9  D    -1 UNKNOWN      1 |    8    9   10   19 | 29.6 33.3 37.0
   45.2  C    10 WHITE       99 | 1023 1024 1024 1023 | 33.3 33.3 33.3
   45.2  D    -1 UNKNOWN      1 |    8    9   10   20 | 29.6 33.3 37.0
   45.4  C    10 WHITE       34 |  151  154  169  358 | 31.9 32.5 35.7
   45.4  D    -1 UNKNOWN      1 |    8    9   10   20 | 29.6 33.3 37.0
   45.7  C    -1 UNKNOWN      2 |    8   12   13   24 | 24.2 36.4 39.4
   45.7  D    -1 UNKNOWN      1 |    6    8    9   18 | 26.1 34.8 39.1
   45.9  C    -1 UNKNOWN      3 |   13   13   15   37 | 31.7 31.7 36.6
   45.9  D    -1 UNKNOWN      1 |    6    8    9   18 | 26.1 34.8 39.1
   46.2  C    -1 UNKNOWN      1 |    7    8    9   17 | 29.2 33.3 37.5
   46.2  D    -1 UNKNOWN      2 |    8    9   10   21 | 29.6 33.3 37.0
   46.4  C    -1 UNKNOWN      1 |    7    8    9   18 | 29.2 33.3 37.5
   46.4  D    -1 UNKNOWN      2 |    8    9   10   21 | 29.6 33.3 37.0
   46.7  C    -1 UNKNOWN      1 |    7    8    9   19 | 29.2 33.3 37.5
   46.7  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   46.9  C    -1 UNKNOWN      1 |    6    8    9   17 | 26.1 34.8 39.1
   46.9  D    -1 UNKNOWN      1 |    6    6    9   17 | 28.6 28.6 42.9
   47.2  C    -1 UNKNOWN      1 |    5    8    9   16 | 22.7 36.4 40.9
   47.2  D    -1 UNKNOWN      1 |    6    7   10   17 | 26.1 30.4 43.5
   47.4  C    -1 UNKNOWN      1 |    7    8    9   18 | 29.2 33.3 37.5
   47.4  D    -1 UNKNOWN      2 |    9   10   11   21 | 30.0 33.3 36.7
   47.7  C    10 WHITE      100 |  871  965 1021 1024 | 30.5 33.8 35.7
   47.7  D    -1 UNKNOWN      1 |    8    9   10   20 | 29.6 33.3 37.0
   47.9  C    10 WHITE      100 |  778  870  924 1024 | 30.2 33.8 35.9
   47.9  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   48.2  C    10 WHITE      100 |  688  771  815 1024 | 30.3 33.9 35.8
   48.2  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   48.4  C    10 WHITE      100 |  614  697  736 1024 | 30.0 34.0 36.0
   48.4  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   48.7  C    10 WHITE      100 |  545  623  663 1024 | 29.8 34.0 36.2
   48.7  D    -1 UNKNOWN      1 |    7    9   10   20 | 26.9 34.6 38.5
   48.9  C    10 WHITE      100 |  468  535  569 1024 | 29.8 34.0 36.2
   48.9  D    -1 UNKNOWN      1 |    8    9   10   20 | 29.6 33.3 37.0
   49.2  C    10 WHITE       99 |  426  488  521 1021 | 29.7 34.0 36.3
   49.2  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   49.4  C    10 WHITE       97 |  398  459  487 1003 | 29.6 34.2 36.2
   49.4  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   49.7  C    10 WHITE       96 |  392  452  481  987 | 29.6 34.1 36.3
   49.7  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   50.0  C    10 WHITE       95 |  385  443  472  976 | 29.6 34.1 36.3
   50.0  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   50.2  C    10 WHITE       94 |  381  439  468  964 | 29.6 34.1 36.3
   50.2  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   50.5  C    10 WHITE       93 |  378  436  464  959 | 29.6 34.1 36.3
   50.5  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   50.7  C    10 WHITE       93 |  378  436  464  954 | 29.6 34.1 36.3
   50.7  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   51.0  C    10 WHITE       91 |  369  427  455  933 | 29.5 34.1 36.4
   51.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   51.2  C    10 WHITE       90 |  366  423  451  930 | 29.5 34.1 36.4
   51.2  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   51.5  C    10 WHITE       90 |  365  420  449  926 | 29.6 34.0 36.4
   51.5  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   51.7  C    10 WHITE       91 |  365  422  449  932 | 29.5 34.1 36.3
   51.7  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   52.0  C    10 WHITE       91 |  369  426  455  932 | 29.5 34.1 36.4
   52.0  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   52.2  C    10 WHITE       91 |  368  426  453  934 | 29.5 34.2 36.3
   52.2  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   52.5  C    10 WHITE       91 |  367  424  453  935 | 29.5 34.1 36.4
   52.5  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   52.7  C    10 WHITE       90 |  367  424  453  928 | 29.5 34.1 36.4
   52.7  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   53.0  C    10 WHITE       90 |  367  423  451  926 | 29.6 34.1 36.3
   53.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   53.2  C    10 WHITE       90 |  365  422  449  927 | 29.5 34.1 36.3
   53.2  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   53.5  C    10 WHITE       90 |  363  420  446  923 | 29.5 34.2 36.3
   53.5  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   53.7  C    10 WHITE       90 |  366  423  451  924 | 29.5 34.1 36.4
   53.7  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   54.0  C    10 WHITE       89 |  362  419  446  920 | 29.5 34.1 36.3
   54.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   54.2  C    10 WHITE       89 |  362  419  446  921 | 29.5 34.1 36.3
   54.2  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   54.5  C    10 WHITE       89 |  362  418  446  919 | 29.5 34.1 36.4
   54.5  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   54.7  C    10 WHITE       89 |  361  416  444  917 | 29.6 34.1 36.4
   54.7  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   55.0  C    10 WHITE       89 |  364  420  447  920 | 29.6 34.1 36.3
   55.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   55.2  C    10 WHITE       89 |  364  420  449  920 | 29.5 34.1 36.4
   55.2  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   55.5  C    10 WHITE       90 |  363  419  446  924 | 29.6 34.1 36.3
   55.5  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   55.7  C    10 WHITE       89 |  360  416  442  915 | 29.6 34.2 36.3
   55.7  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   56.0  C    10 WHITE       89 |  362  418  446  921 | 29.5 34.1 36.4
   56.0  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   56.2  C    10 WHITE       89 |  363  420  447  917 | 29.5 34.1 36.3
   56.2  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   56.5  C    10 WHITE       89 |  362  419  446  915 | 29.5 34.1 36.3
   56.5  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   56.7  C    10 WHITE       89 |  361  416  446  914 | 29.5 34.0 36.5
   56.7  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   57.0  C    10 WHITE       88 |  357  412  440  909 | 29.5 34.1 36.4
   57.0  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   57.2  C    10 WHITE       89 |  358  415  442  913 | 29.5 34.2 36.4
   57.2  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   57.5  C    10 WHITE       89 |  358  415  442  913 | 29.5 34.2 36.4
   57.5  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   57.7  C    10 WHITE       89 |  358  414  442  914 | 29.5 34.1 36.4
   57.7  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   58.0  C    10 WHITE       88 |  355  411  438  905 | 29.5 34.1 36.4
   58.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   58.2  C    10 WHITE       88 |  355  411  438  906 | 29.5 34.1 36.4
   58.2  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   58.5  C    10 WHITE       89 |  359  416  444  915 | 29.5 34.1 36.4
   58.5  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   58.7  C    10 WHITE       89 |  360  416  444  913 | 29.5 34.1 36.4
   58.7  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   59.0  C    10 WHITE       89 |  361  418  444  913 | 29.5 34.2 36.3
   59.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   59.2  C    10 WHITE       88 |  358  414  442  911 | 29.5 34.1 36.4
   59.2  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   59.5  C    10 WHITE       88 |  357  412  440  911 | 29.5 34.1 36.4
   59.5  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   59.7  C    10 WHITE       88 |  357  414  440  904 | 29.5 34.2 36.3
   59.7  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   60.0  C    10 WHITE       88 |  359  415  442  907 | 29.5 34.1 36.3
   60.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   60.2  C    10 WHITE       89 |  357  414  440  912 | 29.5 34.2 36.3
   60.2  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   60.5  C    10 WHITE       89 |  359  415  442  913 | 29.5 34.1 36.3
   60.5  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   60.7  C    10 WHITE       89 |  359  415  444  916 | 29.5 34.1 36.5
   60.7  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   61.0  C    10 WHITE       88 |  359  415  442  909 | 29.5 34.1 36.3
   61.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   61.3  C    10 WHITE       89 |  358  415  442  914 | 29.5 34.2 36.4
   61.3  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   61.5  C    10 WHITE       88 |  359  415  442  907 | 29.5 34.1 36.3
   61.5  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   61.8  C    10 WHITE       89 |  358  415  442  914 | 29.5 34.2 36.4
   61.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   62.0  C    10 WHITE       89 |  360  416  444  912 | 29.5 34.1 36.4
   62.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   62.3  C    10 WHITE       88 |  357  414  440  910 | 29.5 34.2 36.3
   62.3  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   62.5  C    10 WHITE       88 |  359  416  442  909 | 29.5 34.2 36.3
   62.5  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   62.8  C    10 WHITE       88 |  360  416  442  910 | 29.6 34.2 36.3
   62.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   63.0  C    10 WHITE       88 |  357  412  440  905 | 29.5 34.1 36.4
   63.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   63.3  C    10 WHITE       88 |  356  412  440  908 | 29.5 34.1 36.4
   63.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   63.5  C    10 WHITE       89 |  359  415  444  914 | 29.5 34.1 36.5
   63.5  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   63.8  C    10 WHITE       88 |  357  412  440  904 | 29.5 34.1 36.4
   63.8  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   64.0  C    10 WHITE       88 |  356  412  438  907 | 29.5 34.2 36.3
   64.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   64.3  C    10 WHITE       88 |  358  414  442  908 | 29.5 34.1 36.4
   64.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   64.5  C    10 WHITE       88 |  358  414  440  908 | 29.5 34.2 36.3
   64.5  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   64.8  C    10 WHITE       88 |  356  411  438  907 | 29.5 34.1 36.3
   64.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   65.0  C    10 WHITE       88 |  357  414  440  905 | 29.5 34.2 36.3
   65.0  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   65.3  C    10 WHITE       88 |  357  412  440  910 | 29.5 34.1 36.4
   65.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   65.5  C    10 WHITE       88 |  357  412  440  903 | 29.5 34.1 36.4
   65.5  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   65.8  C    10 WHITE       88 |  359  415  442  909 | 29.5 34.1 36.3
   65.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   66.0  C    10 WHITE       88 |  358  414  442  908 | 29.5 34.1 36.4
   66.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   66.3  C    10 WHITE       87 |  354  410  436  900 | 29.5 34.2 36.3
   66.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   66.5  C    10 WHITE       87 |  352  407  434  897 | 29.5 34.1 36.4
   66.5  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   66.8  C    10 WHITE       87 |  353  408  434  899 | 29.5 34.1 36.3
   66.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   67.0  C    10 WHITE       87 |  352  407  434  896 | 29.5 34.1 36.4
   67.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   67.3  C    10 WHITE       88 |  355  411  438  903 | 29.5 34.1 36.4
   67.3  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   67.5  C    10 WHITE       87 |  354  410  436  897 | 29.5 34.2 36.3
   67.5  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   67.8  C    10 WHITE       87 |  353  408  434  899 | 29.5 34.1 36.3
   67.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   68.0  C    10 WHITE       87 |  353  408  436  900 | 29.5 34.1 36.4
   68.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   68.3  C    10 WHITE       87 |  352  407  434  898 | 29.5 34.1 36.4
   68.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   68.5  C    10 WHITE       88 |  355  411  438  905 | 29.5 34.1 36.4
   68.5  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   68.8  C    10 WHITE       87 |  352  408  434  899 | 29.5 34.2 36.3
   68.8  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   69.0  C    10 WHITE       87 |  352  407  434  895 | 29.5 34.1 36.4
   69.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   69.3  C    10 WHITE       87 |  353  408  434  894 | 29.5 34.1 36.3
   69.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   69.5  C    10 WHITE       87 |  350  404  431  893 | 29.5 34.1 36.4
   69.5  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   69.8  C    10 WHITE       87 |  353  408  434  900 | 29.5 34.1 36.3
   69.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   70.0  C    10 WHITE       88 |  353  408  436  902 | 29.5 34.1 36.4
   70.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   70.3  C    10 WHITE       87 |  352  407  434  897 | 29.5 34.1 36.4
   70.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   70.5  C    10 WHITE       88 |  354  410  436  903 | 29.5 34.2 36.3
   70.5  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   70.8  C    10 WHITE       87 |  350  406  431  892 | 29.5 34.2 36.3
   70.8  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   71.0  C    10 WHITE       87 |  353  408  436  897 | 29.5 34.1 36.4
   71.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   71.3  C    10 WHITE       86 |  349  404  431  890 | 29.5 34.1 36.4
   71.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   71.5  C    10 WHITE       87 |  350  404  431  891 | 29.5 34.1 36.4
   71.5  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   71.8  C    10 WHITE       87 |  352  407  434  892 | 29.5 34.1 36.4
   71.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   72.0  C    10 WHITE       87 |  351  407  434  898 | 29.4 34.1 36.4
   72.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   72.3  C    10 WHITE       87 |  350  404  432  894 | 29.5 34.1 36.4
   72.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   72.5  C    10 WHITE       87 |  351  406  432  896 | 29.5 34.1 36.3
   72.5  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   72.8  C    10 WHITE       87 |  350  406  432  893 | 29.5 34.2 36.4
   72.8  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   73.0  C    10 WHITE       87 |  352  407  434  895 | 29.5 34.1 36.4
   73.0  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   73.3  C    10 WHITE       87 |  352  407  434  896 | 29.5 34.1 36.4
   73.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   73.6  C    10 WHITE       87 |  350  406  432  893 | 29.5 34.2 36.4
   73.6  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   73.8  C    10 WHITE       88 |  355  410  438  903 | 29.5 34.1 36.4
   73.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   74.1  C    10 WHITE       88 |  353  408  436  902 | 29.5 34.1 36.4
   74.1  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   74.3  C    10 WHITE       88 |  354  410  436  902 | 29.5 34.2 36.3
   74.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   74.6  C    10 WHITE       87 |  351  406  432  894 | 29.5 34.1 36.3
   74.6  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   74.8  C    10 WHITE       87 |  353  408  434  901 | 29.5 34.1 36.3
   74.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   75.1  C    10 WHITE       87 |  351  406  432  894 | 29.5 34.1 36.3
   75.1  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   75.3  C    10 WHITE       87 |  352  407  434  897 | 29.5 34.1 36.4
   75.3  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   75.6  C    10 WHITE       87 |  353  408  436  895 | 29.5 34.1 36.4
   75.6  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   75.8  C    10 WHITE       86 |  350  406  432  890 | 29.5 34.2 36.4
   75.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   76.1  C    10 WHITE       87 |  352  407  434  899 | 29.5 34.1 36.4
   76.1  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   76.3  C    10 WHITE       87 |  352  407  434  899 | 29.5 34.1 36.4
   76.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   76.6  C    10 WHITE       87 |  353  408  436  901 | 29.5 34.1 36.4
   76.6  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   76.8  C    10 WHITE       87 |  352  407  434  891 | 29.5 34.1 36.4
   76.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   77.1  C    10 WHITE       87 |  352  407  434  897 | 29.5 34.1 36.4
   77.1  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   77.3  C    10 WHITE       87 |  354  410  436  898 | 29.5 34.2 36.3
   77.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   77.6  C    10 WHITE       87 |  351  407  434  894 | 29.4 34.1 36.4
   77.6  D    -1 UNKNOWN      1 |    7    9   10   19 | 26.9 34.6 38.5
   77.8  C    10 WHITE       87 |  353  408  436  897 | 29.5 34.1 36.4
   77.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   78.1  C    10 WHITE       87 |  354  410  436  896 | 29.5 34.2 36.3
   78.1  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   78.3  C    10 WHITE       87 |  353  408  436  894 | 29.5 34.1 36.4
   78.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   78.6  C    10 WHITE       87 |  352  408  434  893 | 29.5 34.2 36.3
   78.6  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   78.8  C    10 WHITE       87 |  352  407  434  899 | 29.5 34.1 36.4
   78.8  D    -1 UNKNOWN      1 |    7    7   10   18 | 29.2 29.2 41.7
   79.1  C    10 WHITE       87 |  352  408  434  893 | 29.5 34.2 36.3
   79.1  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   79.3  C    10 WHITE       88 |  354  410  436  903 | 29.5 34.2 36.3
   79.3  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   79.6  C    10 WHITE       88 |  355  410  436  904 | 29.6 34.1 36.3
   79.6  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
   79.8  C    10 WHITE       87 |  352  407  434  899 | 29.5 34.1 36.4
   79.8  D    -1 UNKNOWN      1 |    7    9   10   18 | 26.9 34.6 38.5
